&title=
&artist=
&first=0
&des=

&inote_1=(160){8},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,,,
28,3,,,
24,67,3,,
68,32,,,
3,,,,
24,83,5,,
75,83,26,,
43,82,6,,
3,,,,
36,72,,,
25,83,,,
23,75,6,,
63,2,,,
3,,,,
32,46,,,
53,2,,,
23,68,,,
3,,,,
28,34,7,,
38,26,,,
83,27,,,
23,47,,,
82,36,,,
46,32,,,
3,,,,
52,3,,,
62,38,,,
24,37,,,
83,62,,,
64,57,38,,
3,,,,
36,82,7,,
82,53,,,
73,62,4,,
23,86,,,
3,,,,
58,34,2,,
72,63,85,,
36,84,2,,
3,,,,
34,2,,,
38,2,,,
38,27,4,,
42,87,3,,
64,83,72,,
67,82,53,,
43,27,,,
26,3,,,
53,47,,,
3,,,,
37,4,,,
62,74,3,,
47,25,,,
27,4,,,
82,7,,,
84,2,,,
36,,,,
63,8,,,
62,7,,,
32,8,,,
25,,,,
43,62,7,,
53,78,26,,
36,72,,,
38,,,,
83,45,,,
48,36,,,
38,7,,,
57,3,,,
62,,,,
46,38,,,
26,,,,
74,38,,,
52,,,,
82,,,,
47,3,,,
23,47,,,
28,7,,,
83,54,,,
27,38,6,,
62,,,,
74,63,,,
